table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.99,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.17,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.74,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,24.21,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,21.78,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,20.17,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.32,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.92,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.14,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.77,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.26,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.39,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.8,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2022/23,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.04,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,24.68,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,31.33,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,27.51,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,23.36,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,18.86,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.66,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.79,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.73,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.94,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.8,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.03,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2023/24,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.5,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,33.07,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,32.94,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,26.1,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,24.28,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,20.68,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.71,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.43,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2024/25,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.53,dollars per box
